phish_id,url,submission_time,verified,verification_time,online,target,details,domain,path,query,has_ip,has_hyphen,subdomain_count,url_length,domain_length,path_length,has_login,has_secure,has_verify,has_account,has_update,has_bank,has_alert,has_confirm,has_password,has_security,has_urgent,has_suspended,submission_hour,submission_day,submission_date,target_category,click_probability,simulated_clicks,risk_score,risk_category
1001,http://secure-paypal-login.com/verify,2024-01-15 10:30:00+00:00,yes,2024-01-15 11:00:00+00:00,yes,PayPal,Fake login page,secure-paypal-login.com,/verify,,0,1,0,37,23,7,1,1,1,0,0,0,0,0,0,0,0,0,10,Monday,2024-01-15,Financial,0.52,1,2.142857142857143,Low Risk
1002,http://bankofamerica-secure-update.com,2024-01-14 14:20:00+00:00,yes,2024-01-14 15:30:00+00:00,no,Bank of America,Account verification scam,bankofamerica-secure-update.com,,,0,1,0,38,31,0,0,1,0,0,1,1,0,0,0,0,0,0,14,Sunday,2024-01-14,Financial,0.37,1,1.1904761904761905,Low Risk
1003,http://microsoft-security-alert.com/login,2024-01-13 09:15:00+00:00,yes,2024-01-13 10:45:00+00:00,yes,Microsoft,Security update phishing,microsoft-security-alert.com,/login,,0,1,0,41,28,6,1,0,0,0,0,0,1,0,0,1,0,0,9,Saturday,2024-01-13,Technology,0.4,1,1.4285714285714284,Low Risk
1004,http://apple-id-verification.secure.com,2024-01-12 16:45:00+00:00,yes,2024-01-12 17:30:00+00:00,yes,Apple,iCloud account phishing,apple-id-verification.secure.com,,,0,1,1,39,32,0,0,1,0,0,0,0,0,0,0,0,0,0,16,Friday,2024-01-12,Technology,0.42,1,1.4285714285714284,Low Risk
1005,http://google-account-recovery.xyz,2024-01-11 11:30:00+00:00,yes,2024-01-11 12:15:00+00:00,no,Google,Account recovery scam,google-account-recovery.xyz,,,0,1,0,34,27,0,0,0,0,1,0,0,0,0,0,0,0,0,11,Thursday,2024-01-11,Technology,0.25,0,0.47619047619047616,Low Risk
1006,http://facebook-login-secure.net,2024-01-10 13:25:00+00:00,yes,2024-01-10 14:10:00+00:00,yes,Facebook,Fake login page,facebook-login-secure.net,,,0,1,0,32,25,0,1,1,0,0,0,0,0,0,0,0,0,0,13,Wednesday,2024-01-10,Social Media,0.52,1,2.142857142857143,Low Risk
1007,http://linkedin-connection-verify.com,2024-01-09 08:40:00+00:00,yes,2024-01-09 09:20:00+00:00,yes,LinkedIn,Connection request scam,linkedin-connection-verify.com,,,0,1,0,37,30,0,0,0,1,0,0,0,0,0,0,0,0,0,8,Tuesday,2024-01-09,Social Media,0.25,0,0.47619047619047616,Low Risk
1008,http://amazon-account-alert.com/secure,2024-01-08 15:55:00+00:00,yes,2024-01-08 16:40:00+00:00,no,Amazon,Order confirmation phishing,amazon-account-alert.com,/secure,,0,1,0,38,24,7,0,1,0,1,0,0,1,0,0,0,0,0,15,Monday,2024-01-08,Technology,0.37,1,1.1904761904761905,Low Risk
1009,http://irs-tax-refund-2024.com,2024-01-07 10:10:00+00:00,yes,2024-01-07 11:00:00+00:00,yes,IRS,Tax refund scam,irs-tax-refund-2024.com,,,0,1,0,30,23,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Sunday,2024-01-07,Financial,0.25,0,0.47619047619047616,Low Risk
1010,http://192.168.1.100/fedex-tracking,2024-01-06 12:35:00+00:00,yes,2024-01-06 13:25:00+00:00,yes,FedEx,Package tracking scam,192.168.1.100,/fedex-tracking,,1,0,2,35,13,15,0,0,0,0,0,0,0,0,0,0,0,0,12,Saturday,2024-01-06,Shipping,0.45,1,1.9047619047619047,Low Risk
1011,http://netflix-payment-update.secure.com,2024-01-05 18:20:00+00:00,yes,2024-01-05 19:05:00+00:00,yes,Netflix,Payment update phishing,netflix-payment-update.secure.com,,,0,1,1,40,33,0,0,1,0,0,1,0,0,0,0,0,0,0,18,Friday,2024-01-05,Streaming,0.42,0,1.4285714285714284,Low Risk
1012,http://dropbox-file-share-alert.com,2024-01-04 09:45:00+00:00,yes,2024-01-04 10:30:00+00:00,no,Dropbox,File sharing scam,dropbox-file-share-alert.com,,,0,1,0,35,28,0,0,0,0,0,0,0,1,0,0,0,0,0,9,Thursday,2024-01-04,Other,0.25,1,0.47619047619047616,Low Risk
1013,http://whatsapp-verification-code.com,2024-01-03 14:15:00+00:00,yes,2024-01-03 15:00:00+00:00,yes,WhatsApp,Verification code scam,whatsapp-verification-code.com,,,0,1,0,37,30,0,0,0,0,0,0,0,0,0,0,0,0,0,14,Wednesday,2024-01-03,Social Media,0.25,1,0.47619047619047616,Low Risk
1014,http://secure-chase-bank-login.com,2024-01-02 11:50:00+00:00,yes,2024-01-02 12:35:00+00:00,yes,Chase,Bank login phishing,secure-chase-bank-login.com,,,0,1,0,34,27,0,1,1,0,0,0,1,0,0,0,0,0,0,11,Tuesday,2024-01-02,Financial,0.52,1,2.142857142857143,Low Risk
1015,http://twitter-account-suspended.alert,2024-01-01 16:30:00+00:00,yes,2024-01-01 17:15:00+00:00,no,Twitter,Account suspension scam,twitter-account-suspended.alert,,,0,1,0,38,31,0,0,0,0,1,0,0,1,0,0,0,0,1,16,Monday,2024-01-01,Social Media,0.25,0,0.47619047619047616,Low Risk
